product_id,name,category,subcategory,product_category_id,purchase_price,sale_price_full,sale_price_discounted
72,Party Attachment,Entertainment,Party,26,18,181.95,108.99
27,Party Gear,Entertainment,Party,26,9,89.99,53.99
5,Personal Accessory,Beauty,Personal,14,12,117.95,93.99
36,Personal Mechanism,Beauty,Personal,14,15,146,131.95
80,Sports Component,Activity,Sports,6,14,138.99,96.99
15,Sports Gear,Activity,Sports,6,10,97.95,87.99
25,Sports Mechanism,Activity,Sports,6,10,95.99,85.95
46,Storage Accessory,Home,Storage,37,10,96.99,86.95
67,Storage Equipment,Home,Storage,37,4,42.95,25.99
93,Storage Gadget,Home,Storage,37,4,38.95,22.99
18,Storage Instrument,Home,Storage,37,15,150.99,135
6,Swimming Instrument,Activity,Swimming,7,19,192.95,115
24,Technology Component,Electronics,Technology,21,17,174,156
94,Technology Kit,Electronics,Technology,21,6,64.99,44
56,Technology Machine,Electronics,Technology,21,12,123,73.95
-1,Test Product 1,Health,Nutrition,31,0,999999,999999
-2,Test Product 2,Health,Nutrition,31,0,0,0
0,Test Product 3,Clothing,Baby,15,0,1000000,-1
43,Tire Doodad,Automotive,Tire,10,12,122.95,73.95
22,Tire Mechanism,Automotive,Tire,10,7,74.95,51.99
16,Tire Thingamajig,Automotive,Tire,10,15,154.99,123
28,Toy Apparatus,Entertainment,Toy,27,16,155.99,108
20,Toy Attachment,Entertainment,Toy,27,9,92.95,64.99
73,Toy Contraption,Entertainment,Toy,27,14,141.99,112
44,Toy Equipment,Entertainment,Toy,27,12,123,86.95
3,Toy Gadget,Entertainment,Toy,27,9,86,60
39,Toy Item,Entertainment,Toy,27,8,76.99,60
33,Truck Item,Automotive,Truck,11,18,184,110.95
59,Truck Kit,Automotive,Truck,11,3,27,24.95
71,Truck Kit,Automotive,Truck,11,4,41.99,36.95
92,Truck Tool,Automotive,Truck,11,10,97.99,77.99
66,Vitamin Doodad,Health,Vitamin,32,3,29.99,23.95
48,Vitamin Widget,Health,Vitamin,32,8,80.95,64.99
85,Womens Item,Clothing,Womens,18,10,96,76.99
79,Womens Machine,Clothing,Womens,18,4,40,36
